age,screen_time,social_media,gaming,short_video,phone_unlocks,notifications,night_usage,sleep,focus_time,exercise,stress,productivity,entertainment_hours,total_recreational_screen_time,night_usage_ratio,focus_to_screen_ratio,sleep_deficit_indicator,usage_intensity,risk_level,wellbeing_score
23,7.1,0.6,1.5,1.7,56,31,0.6,3.1,1.6,76,6,8,3.2,3.8,0.085,0.225,4.4,59.1,Low,71.5
39,6.6,7.6,2.1,1.9,11,106,4.5,9.7,0.6,110,4,6,4.0,11.6,0.682,0.091,0.0,21.6,Moderate,65.9
18,4.9,6.7,5.1,5.7,122,128,2.6,8.1,6.4,95,3,7,10.8,17.5,0.531,1.0,0.0,134.8,Moderate,82.3
37,11.9,6.4,3.4,1.7,176,285,4.0,8.6,2.6,33,7,3,5.1,11.5,0.336,0.218,0.0,204.5,High,43.9
36,8.4,6.6,3.1,2.8,182,241,0.6,9.9,6.9,11,7,6,5.9,12.5,0.071,0.821,0.0,206.1,Moderate,62.6
17,2.2,7.5,0.6,4.0,169,93,4.6,9.5,4.9,87,2,9,4.6,12.1,1.0,1.0,0.0,178.3,Moderate,76.9
39,4.3,4.4,0.1,1.0,175,329,4.1,8.2,5.4,103,8,3,1.1,5.5,0.953,1.0,0.0,207.9,Moderate,65.8
27,11.2,1.6,5.8,2.9,20,121,1.1,7.9,2.3,20,1,6,8.7,10.3,0.098,0.205,0.0,32.1,Moderate,71.4
21,2.1,4.9,2.3,4.4,147,156,4.4,5.4,3.7,28,10,7,6.7,11.6,1.0,1.0,2.1,162.6,High,54.9
17,13.8,5.9,3.6,5.2,121,210,1.3,3.7,3.3,50,7,5,8.8,14.7,0.094,0.239,3.8,142.0,High,48.3
43,8.4,5.9,0.5,3.8,196,161,1.0,7.0,1.9,22,10,10,4.3,10.2,0.119,0.226,0.5,212.1,Moderate,54.4
36,8.2,4.2,4.1,4.0,99,92,1.3,7.0,6.7,32,1,8,8.1,12.3,0.159,0.817,0.5,108.2,Low,80.2
16,9.9,0.5,5.6,0.8,64,347,4.5,9.7,5.0,7,3,8,6.4,6.9,0.455,0.505,0.0,98.7,Moderate,72.5
27,13.4,3.0,3.5,5.7,157,186,4.6,6.1,0.3,41,3,6,9.2,12.2,0.343,0.022,1.4,175.6,Moderate,49.8
41,6.2,7.4,0.8,0.8,26,187,1.6,7.8,6.6,76,10,7,1.6,9.0,0.258,1.0,0.0,44.7,Low,72.5
37,11.2,4.7,3.5,4.6,77,73,3.5,7.0,0.8,68,2,3,8.1,12.8,0.312,0.071,0.5,84.3,High,57.9
44,9.5,4.3,4.6,1.6,142,278,3.4,4.2,3.2,117,10,7,6.2,10.5,0.358,0.337,3.3,169.8,High,51.2
27,5.0,2.2,2.4,5.6,197,130,4.0,7.1,4.6,40,5,7,8.0,10.2,0.8,0.92,0.4,210.0,Moderate,72.8
40,14.2,2.9,5.3,4.3,160,251,1.5,6.8,0.1,73,4,4,9.6,12.5,0.106,0.007,0.7,185.1,Moderate,55.7
32,13.0,7.2,3.9,4.5,183,180,2.6,6.5,5.2,62,6,10,8.4,15.6,0.2,0.4,1.0,201.0,High,62.3
42,10.9,5.3,5.4,1.3,61,346,3.3,6.6,5.3,13,2,4,6.7,12.0,0.303,0.486,0.9,95.6,Moderate,61.3
42,13.8,6.3,3.7,2.7,147,38,0.1,4.1,5.2,87,4,3,6.4,12.7,0.007,0.377,3.4,150.8,High,56.1
25,14.0,3.6,0.8,3.7,183,309,1.9,6.2,1.3,61,7,10,4.5,8.1,0.136,0.093,1.3,213.9,Moderate,57.1
43,11.6,5.0,1.9,4.6,165,69,3.5,7.2,2.0,74,1,7,6.5,11.5,0.302,0.172,0.3,171.9,Moderate,61.2
43,13.6,2.0,1.2,0.6,106,194,1.3,6.4,2.0,45,3,5,1.8,3.8,0.096,0.147,1.1,125.4,Low,63.3
31,11.5,5.6,5.5,5.8,180,321,4.8,6.4,7.7,66,1,3,11.3,16.9,0.417,0.67,1.1,212.1,High,57.5
30,11.2,3.4,4.6,5.3,163,203,0.2,3.5,0.5,92,2,6,9.9,13.3,0.018,0.045,4.0,183.3,Moderate,57.5
30,10.3,3.5,4.1,1.6,192,204,4.8,4.3,3.4,52,9,6,5.7,9.2,0.466,0.33,3.2,212.4,High,45.8
34,12.3,5.2,1.8,4.9,57,326,1.1,5.2,7.0,111,10,6,6.7,11.9,0.089,0.569,2.3,89.6,Moderate,60.6
27,3.4,7.5,1.1,3.1,38,329,0.2,5.9,6.2,51,5,2,4.2,11.7,0.059,1.0,1.6,70.9,Moderate,74.2
38,14.2,0.5,4.5,2.8,36,100,1.5,7.2,6.6,93,4,10,7.3,7.8,0.106,0.465,0.3,46.0,Low,84.1
35,14.1,6.6,2.8,1.9,155,175,3.9,9.0,7.8,112,4,7,4.7,11.3,0.277,0.553,0.0,172.5,Low,64.4
40,1.4,2.3,1.4,3.5,113,294,3.8,4.1,3.1,100,8,7,4.9,7.2,1.0,1.0,3.4,142.4,High,66.7
18,13.4,3.6,3.7,4.4,69,302,1.0,3.1,2.5,6,3,10,8.1,11.7,0.075,0.187,4.4,99.2,High,59.6
20,2.9,0.2,0.2,2.5,115,268,1.0,6.1,0.2,80,4,4,2.7,2.9,0.345,0.069,1.4,141.8,Low,74.3
34,6.0,2.4,2.0,3.8,78,166,3.2,6.0,1.2,83,2,6,5.8,8.2,0.533,0.2,1.5,94.6,Moderate,73.0
22,12.2,4.0,2.8,4.2,123,26,2.3,6.9,4.5,53,6,4,7.0,11.0,0.189,0.369,0.6,125.6,Moderate,61.2
36,3.4,0.4,0.9,4.3,30,176,4.0,8.8,1.3,10,9,4,5.2,5.6,1.0,0.382,0.0,47.6,Moderate,60.1
24,13.3,3.9,5.9,0.3,161,190,0.1,8.6,5.9,107,4,6,6.2,10.1,0.008,0.444,0.0,180.0,Moderate,73.5
22,13.5,7.4,1.3,5.2,111,88,3.1,3.7,0.3,24,6,9,6.5,13.9,0.23,0.022,3.8,119.8,High,41.5
33,8.6,0.8,0.8,2.7,140,113,3.7,9.5,2.1,58,4,7,3.5,4.3,0.43,0.244,0.0,151.3,Moderate,72.6
19,1.1,6.1,1.2,1.6,104,205,5.0,3.8,5.6,87,2,2,2.8,8.9,1.0,1.0,3.7,124.5,Moderate,63.9
40,5.3,3.3,4.6,1.5,199,189,3.4,7.4,2.0,65,6,6,6.1,9.4,0.642,0.377,0.1,217.9,Moderate,66.6
43,10.3,5.2,2.6,2.9,114,223,1.2,7.7,5.8,26,7,5,5.5,10.7,0.117,0.563,0.0,136.3,Moderate,64.5
29,15.7,2.1,3.4,5.3,134,61,0.5,7.8,8.0,82,4,6,8.7,10.8,0.032,0.51,0.0,140.1,Low,73.7
33,10.5,1.3,0.1,2.3,11,32,3.2,4.9,6.4,57,7,8,2.4,3.7,0.305,0.61,2.6,14.2,Moderate,72.2
41,4.9,1.3,0.2,4.5,75,173,2.6,5.3,2.7,92,8,8,4.7,6.0,0.531,0.551,2.2,92.3,Moderate,73.2
24,10.5,0.6,2.7,0.6,122,293,4.5,6.8,7.2,100,3,3,3.3,3.9,0.429,0.686,0.7,151.3,Moderate,68.8
41,9.1,1.5,4.9,2.9,179,317,3.6,4.4,0.4,10,2,9,7.8,9.3,0.396,0.044,3.1,210.7,High,55.3
36,12.7,5.3,5.3,6.0,171,70,2.5,3.1,5.8,54,5,6,11.3,16.6,0.197,0.457,4.4,178.0,Moderate,55.8
17,2.6,7.1,0.5,4.6,51,231,2.0,6.9,0.2,18,2,7,5.1,12.2,0.769,0.077,0.6,74.1,Moderate,67.7
35,12.4,6.5,3.2,1.3,29,163,2.0,6.3,1.4,91,10,9,4.5,11.0,0.161,0.113,1.2,45.3,High,54.6
43,9.1,5.5,5.5,3.0,106,22,1.1,7.6,7.9,38,5,7,8.5,14.0,0.121,0.868,0.0,108.2,Moderate,75.5
30,15.4,0.9,2.3,1.4,77,273,0.1,4.0,2.9,84,10,10,3.7,4.6,0.006,0.188,3.5,104.3,Moderate,57.3
43,6.1,2.3,5.0,2.5,182,275,2.9,8.9,6.6,89,6,9,7.5,9.8,0.475,1.0,0.0,209.5,Moderate,82.5
22,10.5,2.5,0.8,4.7,84,117,1.1,4.0,3.0,85,8,1,5.5,8.0,0.105,0.286,3.5,95.7,Moderate,54.1
27,15.0,2.0,5.6,4.6,134,192,1.0,9.2,6.7,69,6,1,10.2,12.2,0.067,0.447,0.0,153.2,Moderate,63.8
44,2.5,4.1,4.5,1.4,179,169,0.6,6.1,7.7,10,4,3,5.9,10.0,0.24,1.0,1.4,195.9,Moderate,70.6
23,15.1,4.3,5.6,5.5,56,298,0.9,6.8,3.5,13,3,9,11.1,15.4,0.06,0.232,0.7,85.8,Moderate,65.7
30,11.3,2.9,4.1,3.6,14,78,0.2,9.3,4.5,59,2,1,7.7,10.6,0.018,0.398,0.0,21.8,Moderate,73.0
18,2.0,2.8,2.2,2.3,58,132,3.4,5.1,5.0,35,1,1,4.5,7.3,1.0,1.0,2.4,71.2,Moderate,70.5
29,5.5,6.6,5.6,3.0,133,343,2.0,4.3,7.5,103,2,5,8.6,15.2,0.364,1.0,3.2,167.3,Moderate,71.8
32,11.6,6.3,1.7,3.6,46,262,2.8,6.1,2.1,40,2,8,5.3,11.6,0.241,0.181,1.4,72.2,Moderate,62.9
19,2.0,2.5,2.0,3.4,171,329,3.2,4.7,4.9,1,5,2,5.4,7.9,1.0,1.0,2.8,203.9,Moderate,59.2
33,9.7,7.3,4.2,2.9,155,76,4.9,6.7,2.6,56,9,4,7.1,14.4,0.505,0.268,0.8,162.6,High,43.5
23,6.2,7.6,4.6,3.0,28,79,0.3,4.9,1.7,106,1,6,7.6,15.2,0.048,0.274,2.6,35.9,Moderate,69.5
19,10.3,2.6,5.6,1.1,49,348,2.1,9.1,0.7,59,4,1,6.7,9.3,0.204,0.068,0.0,83.8,Moderate,65.2
17,1.7,2.8,1.2,4.9,26,235,1.2,7.3,5.0,19,10,4,6.1,8.9,0.706,1.0,0.2,49.5,Low,69.8
21,14.1,4.0,4.8,3.3,197,252,2.4,3.0,7.1,21,7,4,8.1,12.1,0.17,0.504,4.5,222.2,High,42.9
37,15.6,7.5,4.4,0.8,108,74,4.6,8.6,2.8,102,10,9,5.2,12.7,0.295,0.179,0.0,115.4,High,46.3
25,15.5,7.0,0.4,4.6,102,227,3.6,5.3,4.4,3,3,9,5.0,12.0,0.232,0.284,2.2,124.7,High,50.8
19,12.2,0.8,2.3,5.6,51,82,3.3,5.2,5.1,55,8,6,7.9,8.7,0.27,0.418,2.3,59.2,Moderate,62.9
37,3.0,3.1,1.7,5.7,132,203,2.2,5.7,3.3,92,3,8,7.4,10.5,0.733,1.0,1.8,152.3,Moderate,80.8
44,12.4,4.4,1.8,2.2,116,330,3.4,7.4,7.2,109,8,10,4.0,8.4,0.274,0.581,0.1,149.0,High,68.5
33,1.4,4.0,5.9,0.8,81,300,0.2,6.1,2.9,57,2,4,6.7,10.7,0.143,1.0,1.4,111.0,Moderate,78.0
41,1.3,1.6,3.9,3.1,74,45,2.9,7.4,1.0,87,5,10,7.0,8.6,1.0,0.769,0.1,78.5,Low,83.8
27,5.9,6.9,4.3,0.7,118,196,2.8,4.0,1.2,64,4,8,5.0,11.9,0.475,0.203,3.5,137.6,Moderate,64.2
17,8.3,5.4,5.9,5.6,62,82,1.7,9.8,7.1,87,9,3,11.5,16.9,0.205,0.855,0.0,70.2,Moderate,68.0
25,12.6,6.7,2.3,1.1,144,92,1.0,8.1,7.9,57,3,2,3.4,10.1,0.079,0.627,0.0,153.2,Moderate,64.9
19,11.2,6.9,4.8,1.5,142,186,4.0,4.8,2.3,29,5,6,6.3,13.2,0.357,0.205,2.7,160.6,High,46.8
29,7.7,6.0,2.6,2.4,33,244,0.3,8.1,1.1,75,10,5,5.0,11.0,0.039,0.143,0.0,57.4,Moderate,61.2
31,5.1,3.5,5.2,2.3,37,84,0.3,7.0,3.9,18,9,8,7.5,11.0,0.059,0.765,0.5,45.4,Moderate,72.6
30,16.0,4.9,1.1,4.8,71,88,2.2,3.8,5.7,100,6,1,5.9,10.8,0.138,0.356,3.7,79.8,High,49.7
23,7.4,1.3,5.7,2.7,26,28,1.3,4.2,4.9,61,2,10,8.4,9.7,0.176,0.662,3.3,28.8,Moderate,86.5
29,7.8,5.4,1.3,1.0,29,255,3.7,3.3,7.6,103,1,3,2.3,7.7,0.474,0.974,4.2,54.5,High,65.9
38,3.5,1.4,2.0,1.6,12,217,3.2,8.7,6.5,106,1,7,3.6,5.0,0.914,1.0,0.0,33.7,Low,93.1
43,12.9,5.6,4.5,3.1,174,192,3.9,6.9,7.0,117,7,10,7.6,13.2,0.302,0.543,0.6,193.2,High,63.0
40,11.4,1.8,2.4,0.9,152,301,1.6,5.2,4.3,67,2,4,3.3,5.1,0.14,0.377,2.3,182.1,Low,66.6
23,4.3,0.9,3.6,3.7,60,47,3.7,3.9,2.6,78,7,10,7.3,8.2,0.86,0.605,3.6,64.7,Moderate,74.6
36,2.2,1.3,2.7,3.4,185,315,4.3,6.4,5.6,83,1,5,6.1,7.4,1.0,1.0,1.1,216.5,Low,77.2
31,11.2,0.0,4.5,4.3,145,153,1.7,6.7,3.5,43,4,8,8.8,8.8,0.152,0.312,0.8,160.3,Moderate,71.9
28,10.8,5.7,1.4,5.6,150,46,1.7,7.9,2.3,83,10,1,7.0,12.7,0.157,0.213,0.0,154.6,High,46.7
33,5.1,5.9,0.4,5.5,185,57,4.5,9.8,1.2,117,4,1,5.9,11.8,0.882,0.235,0.0,190.7,Moderate,57.7
30,15.3,4.1,1.8,5.7,12,215,0.2,6.0,4.2,118,5,7,7.5,11.6,0.013,0.275,1.5,33.5,Low,67.8
36,3.3,1.3,2.8,1.5,82,222,1.8,5.8,4.8,60,10,9,4.3,5.6,0.545,1.0,1.7,104.2,Moderate,78.5
39,7.5,0.7,1.0,0.8,168,104,0.6,5.6,4.6,20,1,4,1.8,2.5,0.08,0.613,1.9,178.4,Low,68.2
41,15.2,0.2,2.1,1.8,114,339,0.1,8.8,0.9,9,7,8,3.9,4.1,0.007,0.059,0.0,147.9,Moderate,55.1
40,7.3,1.3,2.4,5.4,127,49,0.6,4.1,4.6,29,2,10,7.8,9.1,0.082,0.63,3.4,131.9,Moderate,78.0
43,10.6,7.1,0.3,5.8,163,118,2.2,5.4,1.3,23,2,7,6.1,13.2,0.208,0.123,2.1,174.8,High,51.7
43,7.0,1.9,3.5,5.2,193,209,3.4,8.1,5.3,47,8,2,8.7,10.6,0.486,0.757,0.0,213.9,Moderate,62.2
43,5.1,2.8,5.3,0.7,43,31,1.4,3.1,3.4,54,9,5,6.0,8.8,0.275,0.667,4.4,46.1,Moderate,64.9
28,15.8,0.8,0.9,5.7,146,110,4.2,5.0,6.8,103,6,9,6.6,7.4,0.266,0.43,2.5,157.0,Moderate,61.6
24,7.1,1.8,3.6,2.5,71,49,2.2,7.5,6.2,51,1,9,6.1,7.9,0.31,0.873,0.0,75.9,Low,90.0
44,14.4,4.2,4.0,0.1,129,232,4.8,4.3,5.8,103,1,3,4.1,8.3,0.333,0.403,3.2,152.2,Moderate,53.2
30,4.4,4.9,2.5,2.7,124,57,4.8,5.1,5.6,37,7,3,5.2,10.1,1.0,1.0,2.4,129.7,Moderate,59.2
28,4.2,2.0,4.2,0.3,22,79,3.9,6.4,4.5,66,8,2,4.5,6.5,0.929,1.0,1.1,29.9,Low,69.7
16,1.5,0.5,2.5,3.3,78,313,4.7,6.0,0.5,92,3,7,5.8,6.3,1.0,0.333,1.5,109.3,Moderate,73.7
40,10.8,3.1,3.0,2.0,178,162,3.5,3.7,5.2,7,9,6,5.0,8.1,0.324,0.481,3.8,194.2,High,44.6
22,6.5,1.9,0.0,2.8,86,199,4.5,9.6,3.7,28,4,5,2.8,4.7,0.692,0.569,0.0,105.9,Moderate,72.6
24,14.0,1.8,4.2,3.7,10,304,1.2,3.3,3.8,118,4,7,7.9,9.7,0.086,0.271,4.2,40.4,Moderate,68.3
39,8.1,7.7,4.0,5.2,98,131,1.7,8.2,3.0,9,3,4,9.2,16.9,0.21,0.37,0.0,111.1,Moderate,60.8
16,15.5,4.9,0.2,4.0,56,249,3.8,3.5,7.4,68,8,5,4.2,9.1,0.245,0.477,4.0,80.9,Moderate,50.0
27,3.8,4.5,2.2,2.6,13,40,2.1,6.3,2.0,74,9,9,4.8,9.3,0.553,0.526,1.2,17.0,Moderate,73.1
23,14.0,3.3,5.9,4.9,189,164,4.2,4.2,2.5,67,1,9,10.8,14.1,0.3,0.179,3.3,205.4,High,55.6
39,12.6,3.4,2.5,5.4,19,165,4.4,4.0,7.7,48,2,4,7.9,11.3,0.349,0.611,3.5,35.5,High,61.4
26,12.6,4.3,3.0,0.7,37,335,1.5,3.9,6.5,57,1,6,3.7,8.0,0.119,0.516,3.6,70.5,Moderate,70.0
34,13.7,5.6,5.5,3.2,130,185,4.1,6.2,0.1,34,4,2,8.7,14.3,0.299,0.007,1.3,148.5,High,40.6
32,12.4,5.6,4.3,1.7,135,159,0.8,6.6,7.2,49,10,3,6.0,11.6,0.065,0.581,0.9,150.9,High,52.8
23,10.4,1.4,3.5,0.3,143,222,1.7,3.9,1.8,39,7,9,3.8,5.2,0.163,0.173,3.6,165.2,Moderate,59.1
18,3.0,4.0,4.8,4.0,164,263,2.6,9.9,5.6,119,7,6,8.8,12.8,0.867,1.0,0.0,190.3,Moderate,77.3
18,1.5,3.3,5.2,5.2,149,132,1.1,4.8,4.4,11,6,8,10.4,13.7,0.733,1.0,2.7,162.2,Moderate,71.0
16,14.8,7.0,2.7,1.0,71,220,2.9,6.2,4.3,84,5,5,3.7,10.7,0.196,0.291,1.3,93.0,Moderate,57.0
42,10.2,5.1,2.9,4.9,189,333,2.9,4.5,5.7,15,4,2,7.8,12.9,0.284,0.559,3.0,222.3,High,51.0
20,12.9,4.3,2.3,5.1,185,278,1.0,6.5,1.7,77,8,7,7.4,11.7,0.078,0.132,1.0,212.8,High,54.4
25,8.2,0.9,5.8,5.5,76,274,4.0,8.3,1.3,84,7,6,11.3,12.2,0.488,0.159,0.0,103.4,High,67.0
22,2.8,4.8,4.2,1.6,183,42,3.2,6.6,5.2,47,10,2,5.8,10.6,1.0,1.0,0.9,187.2,High,56.4
41,2.9,0.9,0.5,5.4,83,265,1.6,5.0,2.3,90,1,6,5.9,6.8,0.552,0.793,2.5,109.5,Low,79.7
24,11.3,2.7,5.2,1.9,104,330,1.2,4.7,7.8,99,6,8,7.1,9.8,0.106,0.69,2.8,137.0,Moderate,73.3
43,7.5,1.1,2.9,3.3,152,337,4.4,8.3,3.6,0,2,1,6.2,7.3,0.587,0.48,0.0,185.7,High,57.6
22,4.0,5.5,0.4,0.3,45,106,4.2,3.8,0.9,64,4,4,0.7,6.2,1.0,0.225,3.7,55.6,Moderate,62.8
24,8.4,1.7,3.3,0.3,151,238,1.1,5.6,5.5,21,5,1,3.6,5.3,0.131,0.655,1.9,174.8,Low,63.0
23,2.0,3.1,2.5,4.3,121,46,0.2,4.1,2.4,14,8,2,6.8,9.9,0.1,1.0,3.4,125.6,High,54.9
27,9.7,7.2,5.3,2.7,140,309,4.0,4.8,1.2,115,6,1,8.0,15.2,0.412,0.124,2.7,170.9,High,41.7
17,5.0,1.6,1.2,1.5,122,308,3.1,4.1,3.4,83,2,6,2.7,4.3,0.62,0.68,3.4,152.8,Moderate,73.7
16,13.0,4.1,5.0,1.1,119,242,0.5,9.2,7.7,66,5,6,6.1,10.2,0.038,0.592,0.0,143.2,Moderate,73.9
31,5.7,3.4,3.3,4.0,123,197,2.9,8.1,3.3,13,5,1,7.3,10.7,0.509,0.579,0.0,142.7,Moderate,62.0
38,7.8,0.1,0.3,0.0,76,167,2.3,6.9,2.8,72,6,4,0.3,0.4,0.295,0.359,0.6,92.7,Low,70.8
38,1.2,6.3,5.8,4.8,135,246,3.9,4.6,3.6,18,1,4,10.6,16.9,1.0,1.0,2.9,159.6,High,58.6
39,2.1,0.6,3.1,0.5,95,205,1.0,6.6,0.1,39,8,8,3.6,4.2,0.476,0.048,0.9,115.5,Low,71.0
20,6.9,3.8,1.7,1.1,28,313,2.3,6.6,1.1,97,3,6,2.8,6.6,0.333,0.159,0.9,59.3,Low,73.8
18,8.2,4.5,2.8,2.3,191,60,0.8,7.1,6.8,3,5,2,5.1,9.6,0.098,0.829,0.4,197.0,Moderate,60.6
27,10.0,5.0,5.1,2.9,78,210,4.8,3.4,7.8,32,7,5,8.0,13.0,0.48,0.78,4.1,99.0,High,52.6
23,5.4,5.5,1.8,2.1,19,98,3.9,9.8,1.3,42,3,4,3.9,9.4,0.722,0.241,0.0,28.8,Moderate,67.8
37,11.4,2.0,1.2,1.9,170,224,3.7,6.3,4.3,36,10,10,3.1,5.1,0.325,0.377,1.2,192.4,Moderate,57.1
42,13.9,0.1,0.8,5.8,150,297,3.5,9.5,7.7,65,6,4,6.6,6.7,0.252,0.554,0.0,179.7,Moderate,64.2
18,12.7,5.8,1.8,3.8,137,291,2.1,3.1,1.3,26,5,8,5.6,11.4,0.165,0.102,4.4,166.1,High,47.4
16,1.6,4.3,4.7,0.1,108,51,4.6,4.7,1.5,44,7,5,4.8,9.1,1.0,0.938,2.8,113.1,Moderate,56.9
18,8.2,6.7,2.8,2.6,188,161,0.4,3.7,7.4,80,10,3,5.4,12.1,0.049,0.902,3.8,204.1,High,50.7
20,2.6,6.6,1.4,5.3,41,270,4.0,8.4,5.6,112,3,10,6.7,13.3,1.0,1.0,0.0,68.0,Moderate,88.3
30,4.6,6.7,1.0,1.8,121,313,1.1,5.2,1.2,49,2,4,2.8,9.5,0.239,0.261,2.3,152.3,Moderate,64.4
29,15.8,3.9,2.0,0.6,33,117,1.6,8.9,3.1,116,4,1,2.6,6.5,0.101,0.196,0.0,44.7,Low,60.9
18,3.1,2.7,5.6,4.6,44,155,2.6,8.8,0.5,94,3,6,10.2,12.9,0.839,0.161,0.0,59.5,Low,80.8
16,8.5,6.3,2.1,3.6,92,296,3.9,7.7,3.5,62,4,10,5.7,12.0,0.459,0.412,0.0,121.6,Moderate,75.3
20,10.3,3.6,5.9,3.4,79,331,4.2,7.7,6.2,104,7,4,9.3,12.9,0.408,0.602,0.0,112.1,Moderate,66.7
41,11.5,1.5,2.9,0.3,177,321,2.9,7.9,4.4,5,5,6,3.2,4.7,0.252,0.383,0.0,209.1,Moderate,60.9
38,9.4,6.8,1.1,0.8,191,62,2.0,7.7,5.2,115,4,2,1.9,8.7,0.213,0.553,0.0,197.2,Low,63.5
29,1.1,7.1,5.3,3.7,118,139,4.7,5.7,2.6,94,6,5,9.0,16.1,1.0,1.0,1.8,131.9,Moderate,60.6
22,5.9,3.7,2.8,1.2,181,239,1.2,7.8,1.3,66,7,9,4.0,7.7,0.203,0.22,0.0,204.9,Low,72.3
42,8.8,0.6,4.3,3.0,199,65,4.0,9.3,0.1,103,5,8,7.3,7.9,0.455,0.011,0.0,205.5,High,64.5
24,2.3,3.1,5.9,3.3,108,255,3.1,5.3,6.6,66,7,3,9.2,12.3,1.0,1.0,2.2,133.5,High,71.3
30,6.3,6.4,0.3,1.7,42,67,1.9,9.6,5.1,96,3,1,2.0,8.4,0.302,0.81,0.0,48.7,Low,74.9
30,1.5,7.2,0.6,5.7,65,217,0.0,3.1,1.8,115,7,10,6.3,13.5,0.0,1.0,4.4,86.7,Moderate,69.3
41,2.2,1.6,4.3,5.1,173,103,2.2,5.4,3.3,58,3,3,9.4,11.0,1.0,1.0,2.1,183.3,Moderate,72.0
25,7.0,0.5,1.7,4.3,191,50,1.4,3.9,6.4,12,6,8,6.0,6.5,0.2,0.914,3.6,196.0,Moderate,67.2
43,3.0,7.0,1.1,0.5,156,180,0.5,3.9,4.3,20,8,3,1.6,8.6,0.167,1.0,3.6,174.0,Moderate,53.1
28,9.5,3.1,0.2,0.6,180,90,0.4,8.7,2.4,63,6,5,0.8,3.9,0.042,0.253,0.0,189.0,Moderate,66.9
34,11.3,4.3,0.1,3.0,21,27,1.7,9.4,2.1,36,10,2,3.1,7.4,0.15,0.186,0.0,23.7,Moderate,50.8
22,13.0,7.7,4.6,1.0,20,71,3.1,8.4,1.7,79,3,1,5.6,13.3,0.238,0.131,0.0,27.1,Moderate,53.7
32,4.0,0.5,0.8,5.9,79,64,4.2,9.8,6.6,84,5,10,6.7,7.2,1.0,1.0,0.0,85.4,Low,92.1
35,3.5,5.2,2.8,1.0,149,312,0.9,4.5,4.7,119,9,5,3.8,9.0,0.257,1.0,3.0,180.2,Moderate,65.2
44,2.6,0.6,3.6,2.9,50,319,2.1,4.0,5.7,47,8,5,6.5,7.1,0.808,1.0,3.5,81.9,Moderate,73.8
19,10.5,3.0,2.6,2.2,162,57,2.0,6.6,6.9,55,6,6,4.8,7.8,0.19,0.657,0.9,167.7,Moderate,69.6
20,11.6,6.4,0.2,3.8,115,250,2.6,8.8,7.9,43,9,2,4.0,10.4,0.224,0.681,0.0,140.0,High,53.0
38,1.5,3.5,4.7,0.8,12,281,4.0,3.3,2.0,12,2,9,5.5,9.0,1.0,1.0,4.2,40.1,High,67.7
